| Task Type | Task | Task Percentage | Description | Deadline | Milestone/Deliverable |
| --- | --- | --- | --- | --- | --- |
| Core | Class Participation/Attendance | 10% | N/A | Ongoing (weekly) | N/A |
| Core | HBR Case Analysis | 10% | N/A | June 10, 2024, in-class discussion | N/A |
| Core | Mid-Term Test | 30% | N/A | Tentative: May 27 1-3p | N/A |
| Core | Assignment | 15% | N/A | Ongoing (see due dates in weekly schedule) | N/A |
| Core | Final Exam | 35% | N/A | Examination Period | N/A |
| Core | Individual online assignments | N/A | A total of 5 individual online assignments will be given. | N/A | N/A |
| Support | Reading | N/A | Required readings: 'Operations Management, RSM270, by McGraw-Hill/Irwin. ISBN-13: 9781260068115, ISBN-10: 1260068110.' | N/A | N/A |
| Support | Reading | N/A | 'Rapid-Fire Fulfillment, Oct 2004, Product # R0411G-PDF-ENG.' | N/A | N/A |
| Support | Class Participation | N/A | Students are expected to prepare thoroughly and make every effort to attend every class. As class participation is a graded component of the course, students will be evaluated on thoughtful responses, understanding and analysis of the topic, idea generation, promoting further discussion, respectful active listening, attentiveness, and giving the midterm or final review. | N/A | N/A |
| Support | Missed Tests and Assignments | N/A | Students who miss a test or assignment for reasons beyond their control (e.g., illness) may request special consideration within 2 business days. | N/A | N/A |
| Support | Late Assignments | N/A | All assignments are due on the date and time specified. The instructor reserves the right to penalize late submissions by 25% per day. | N/A | N/A |
| Support | Generative AI / ChatGPT | N/A | Students are permitted to use Generative AI tools for assignments and case studies, but must document and upload this usage as an appendix upon request. Failure to adhere to this guideline could result in a grade forfeiture. | N/A | N/A |
| Support | Academic Integrity | N/A | Students are expected to maintain academic integrity, including proper citation and avoiding plagiarism. | N/A | N/A |
| Support | Email | N/A | The instructor may communicate important course information via email, so students should ensure their UTmail+ email address is set up and properly entered on ACORN. | N/A | N/A |
| Support | Recording Lectures | N/A | Students must ask for explicit permission from the instructor to record lectures or course materials. | N/A | N/A |
| Support | Weekly Schedule | N/A | A detailed weekly schedule is provided, including topics, readings, and assignments for each session. | N/A | N/A |
